Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
leadership-launchpad-captain-bundle,Leadership Launchpad Captain Merch Bundle,Title,XL Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,1c96ec11-0bd2-4b7a-ba65-df874043f2e2,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,2XL Leadership Launchpad Hoodie + 2XL Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,8d2dd999-36e9-42fb-be07-70b7ab3f2458,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,2XL Leadership Launchpad Hoodie + 3XL Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,f6ab7cc8-d488-45fc-ad02-d20f6626e509,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,3XL Leadership Launchpad Hoodie + XL Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,6abb37b4-af04-4459-a452-be37cd063bde,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,S Leadership Launchpad Hoodie + M Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,80889fa7-e44a-45fd-bed0-65be1e73bbe9,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,XL Leadership Launchpad Hoodie + L Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,78cc5103-de65-4ef3-b932-b08ad3160c7b,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,2XL Leadership Launchpad Hoodie + L Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,c8de80ec-d013-4a51-af5a-f5597fcd0ab9,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,2XL Leadership Launchpad Hoodie + M Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,2d779ed3-fac2-47be-93d2-0257c668d979,,,Underground Sports Shop,,0,0,0,-9,-9,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,XL Leadership Launchpad Hoodie + M Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,fc6d6cc7-3232-4541-be11-ff95e1421474,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,S Leadership Launchpad Hoodie + S Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,14dde492-f623-4e4e-b453-8efb70337bd6,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,M Leadership Launchpad Hoodie + M Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,60b6511c-d08b-4912-933f-c12a13e03dd6,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,L Leadership Launchpad Hoodie + S Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,b4873f96-168f-46ce-95c6-e304a7cc46c0,,,Underground Sports Shop,,0,0,0,0,0,
leadership-launchpad-galaxy-bundle,Leadership Launchpad Galaxy Merch Bundle,Title,2XL Leadership Launchpad Hoodie + S Leadership Launchpad T-Shirt + Leadership Launchpad Sticker + Leadership Launchpad Tumbler,,,,,28d8bbcb-d4f6-4874-8be3-e3af12781a92,,,Underground Sports Shop,,0,0,0,-9,-9,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,M,,,,,minimal-seal-gildan-5000-black-02-m,,,Underground Sports Shop,,0,0,0,0,0,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,L,,,,,minimal-seal-gildan-5000-black-03-l,,,Underground Sports Shop,,0,0,0,0,0,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,XL,,,,,minimal-seal-gildan-5000-black-04-xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,2XL,,,,,minimal-seal-gildan-5000-black-05-2xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,3XL,,,,,minimal-seal-gildan-5000-black-06-3xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,S,,,,,vintage-seal-gildan-18000-dark-heather-grey-01-s,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,M,,,,,vintage-seal-gildan-18000-dark-heather-grey-02-m,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,L,,,,,vintage-seal-gildan-18000-dark-heather-grey-03-l,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,XL,,,,,vintage-seal-gildan-18000-dark-heather-grey-04-xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,2XL,,,,,vintage-seal-gildan-18000-dark-heather-grey-05-2xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-crewneck,NSLS Vintage Seal Crewneck,Size,3XL,,,,,vintage-seal-gildan-18000-dark-heather-grey-06-3xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-tote-bag,NSLS Seal Tote Bag,Title,Default Title,,,,,nsls-seal-tote-bag-navy,,,Underground Sports Shop,,0,0,0,17,17,
nsls-seal-pennant,NSLS Seal Pennant,Title,Default Title,,,,,nsls-seal-pennant-navy,,,Underground Sports Shop,,0,0,1,125,126,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,S,,,,,vintage-seal-sweatpants-01-s,,,Underground Sports Shop,,0,0,0,16,16,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,M,,,,,vintage-seal-sweatpants-02-m,,,Underground Sports Shop,,0,0,0,6,6,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,L,,,,,vintage-seal-sweatpants-03-l,,,Underground Sports Shop,,0,0,1,13,14,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,XL,,,,,vintage-seal-sweatpants-04-xl,,,Underground Sports Shop,,0,0,0,5,5,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,2XL,,,,,vintage-seal-sweatpants-05-2xl,,,Underground Sports Shop,,0,0,0,11,11,
nsls-vintage-seal-sweatpants,NSLS Vintage Seal Jogger Sweatpants,Size,3XL,,,,,vintage-seal-sweatpants-06-3xl,,,Underground Sports Shop,,0,0,0,5,5,
nsls-seal-hat,NSLS Seal Cap,Style,White Seal,,,,,seal-cap-black-white-mesh-white-seal,,,Underground Sports Shop,,0,0,0,13,13,
nsls-seal-hat,NSLS Seal Cap,Style,Full Color Seal,,,,,seal-cap-black-white-mesh-color-seal,,,Underground Sports Shop,,0,0,1,1,2,
nsls-letters-snapback-cap,NSLS Letters Snapback Cap,Title,Default Title,,,,,nsls-letters-cap-black-white,,,Underground Sports Shop,,0,0,1,25,26,
the-other-daniela-pierre-bravo,The Other: How to Own Your Power at Work as a Woman of Color by Daniela Pierre-Bravo,Title,Default Title,,,,,book-pierre-bravo-the-other,,,Underground Sports Shop,,0,0,1,140,141,
live-wire-long-winded-short-stories-by-kelly-ripa,Live Wire: Long-Winded Short Stories by Kelly Ripa,Title,Default Title,,,,,book-ripa-live-wire,,,Underground Sports Shop,,0,0,0,335,335,
nsls-letter-ballpoint-pen,NSLS Letter Ballpoint Pen,Title,Default Title,,,,,pen-ballpoint-nsls-letters,,,Underground Sports Shop,,0,0,1,183,184,
nsls-letter-ballpoint-pen-pack-of-20-save-20,NSLS Letter Ballpoint Pen (Pack of 20 Save 20%),Title,Default Title,,,,,bulk-pen-ballpoint-nsls-letters,,,Underground Sports Shop,,0,0,0,9,9,
forward-by-andrew-yang,Forward by Andrew Yang,Material,Hardcover,,,,,book-yang-forward-hardcover,,,Underground Sports Shop,,0,0,0,39,39,
forward-by-andrew-yang,Forward by Andrew Yang,Material,Paperback,,,,,book-yang-forward-paperback,,,Underground Sports Shop,,0,0,0,498,498,
darryl-s-dream-by-darryl-dmc-mcdaniels,"Darryl’s Dream by Darryl ""DMC"" McDaniels",Title,Default Title,,,,,book-darryls-dream-DMC,,,Underground Sports Shop,,0,0,0,0,0,
misty-the-cloud-a-very-stormy-day-by-dylan-dreyer,Misty the Cloud: Friends Through Rain or Shine by Dylan Dreyer,Title,Default Title,,,,,book-misty-cloud-dylan-dreyer,,,Underground Sports Shop,,0,0,0,45,45,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,XS,,,,,mens-polo-navy-00-xs,,,Underground Sports Shop,,0,0,0,6,6,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,S,,,,,mens-polo-navy-01-s,,,Underground Sports Shop,,0,0,0,11,11,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,M,,,,,mens-polo-navy-02-m,,,Underground Sports Shop,,0,0,0,9,9,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,L,,,,,mens-polo-navy-03-l,,,Underground Sports Shop,,0,0,1,8,9,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,XL,,,,,mens-polo-navy-04-xl,,,Underground Sports Shop,,0,0,0,8,8,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,2XL,,,,,mens-polo-navy-05-2xl,,,Underground Sports Shop,,0,0,0,7,7,
nsls-relaxed-fit-ogio-polo-navy-blue,NSLS Relaxed Fit OGIO Polo - Navy Blue,Size,3XL,,,,,mens-polo-navy-06-3xl,,,Underground Sports Shop,,0,0,0,7,7,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,XS,,,,,womens-polo-navy-00-xs,,,Underground Sports Shop,,0,0,0,6,6,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,S,,,,,womens-polo-navy-01-s,,,Underground Sports Shop,,0,0,1,5,6,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,M,,,,,womens-polo-navy-02-m,,,Underground Sports Shop,,0,0,0,5,5,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,L,,,,,womens-polo-navy-03-l,,,Underground Sports Shop,,0,0,0,9,9,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,XL,,,,,womens-polo-navy-04-xl,,,Underground Sports Shop,,0,0,0,6,6,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,2XL,,,,,womens-polo-navy-05-2xl,,,Underground Sports Shop,,0,0,0,4,4,
nsls-contoured-fit-ogio-polo-navy-blue,NSLS Contoured Fit OGIO Polo - Women's - Navy Blue,Size,3XL,,,,,womens-polo-navy-06-3xl,,,Underground Sports Shop,,0,0,0,5,5,
marcus-makes-it-big-by-kevin-heart,Marcus Makes It Big by Kevin Hart,Title,Default Title,,,,,book-Hart-Marcus,,,Underground Sports Shop,,0,0,0,1471,1471,
new-hire-welcome-kit,New Hire Welcome Kit,Title,Default Title,,,,,"",,,Underground Sports Shop,,0,0,0,0,0,
core-values-mouse-pad-mug,[Internal] Core Values Mouse Pad & Mug + New Hire Letter,Title,Default Title,,,,,"",,,Underground Sports Shop,,0,0,0,0,0,
the-urgent-life-my-story-of-love-loss-and-survival,"The Urgent Life: My Story of Love, Loss, and Survival by Bozoma Saint John",Title,Default Title,,,,,book-bozoma-saint-john,,,Underground Sports Shop,,0,0,0,241,241,
little-daymond-learns-to-earn-by-daymond-john,Little Daymond Learns to Earn by Daymond John,Title,Default Title,,,,,book-daymond-john,,,Underground Sports Shop,,0,0,0,954,954,
win-every-argument-the-art-of-debating-persuading-and-public-speaking-by-mehdi-hasan,"Win Every Argument: The Art of Debating, Persuading, and Public Speaking by Mehdi Hasan",Title,Default Title,,,,,book-mehdi-hasan,,,Underground Sports Shop,,0,0,0,222,222,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,S,,,,,nsls-hoodie-black-01-s,,,Underground Sports Shop,,0,0,0,11,11,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,M,,,,,nsls-hoodie-black-02-m,,,Underground Sports Shop,,0,0,1,18,19,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,L,,,,,nsls-hoodie-black-03-l,,,Underground Sports Shop,,0,0,0,7,7,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,XL,,,,,nsls-hoodie-black-04-xl,,,Underground Sports Shop,,0,0,0,3,3,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,2XL,,,,,nsls-hoodie-black-05-2xl,,,Underground Sports Shop,,0,0,1,7,8,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,3XL,,,,,nsls-hoodie-black-06-3xl,,,Underground Sports Shop,,0,0,1,3,4,
nsls-black-hooded-sweatshirt,NSLS Black Hooded Sweatshirt,Size,4XL,,,,,nsls-hoodie-black-07-4xl,,,Underground Sports Shop,,0,0,0,9,9,
rise-my-story-by-lindsey-vonn,Rise: My Story by Lindsey Vonn,Title,Default Title,,,,,book-vonn-rise,,,Underground Sports Shop,,0,0,0,294,294,
nsls-mystery-packs-with-pennant,NSLS Mystery Packs with Pennant,Style,Ladies,Size,XS,,,mystery-pack-ladies-xs,,,Underground Sports Shop,,0,0,0,16,16,
do-not-delete-graduation-medallion,DO NOT DELETE Graduation Medallion,Do you want to personalize it?,Skip personalization,,,,,test-medallion,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,S,,,,,mens-red-executive-polo-01-s,,,Underground Sports Shop,,0,0,0,6,6,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,M,,,,,mens-red-executive-polo-02-m,,,Underground Sports Shop,,0,0,0,5,5,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,L,,,,,mens-red-executive-polo-03-l,,,Underground Sports Shop,,0,0,0,10,10,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,XL,,,,,mens-red-executive-polo-04-xl,,,Underground Sports Shop,,0,0,0,4,4,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,2X,,,,,mens-red-executive-polo-05-2xl,,,Underground Sports Shop,,0,0,0,5,5,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,3X,,,,,mens-red-executive-polo-06-3xl,,,Underground Sports Shop,,0,0,0,10,10,
nsls-executive-board-polo-mens-red,NSLS Executive Board Polo - Men's - Red,Size,XS,,,,,mens-red-executive-polo-00-xs,,,Underground Sports Shop,,0,0,0,7,7,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,S,,,,,womens-red-executive-polo-01-s,,,Underground Sports Shop,,0,0,1,0,1,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,M,,,,,womens-red-executive-polo-02-m,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,L,,,,,womens-red-executive-polo-03-l,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,XL,,,,,womens-red-executive-polo-04-xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,2X,,,,,womens-red-executive-polo-05-2xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,3X,,,,,womens-red-executive-polo-06-3xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-executive-board-polo-womens-red,NSLS Executive Board Polo - Women's - Red,Size,XS,,,,,womens-red-executive-polo-00-xs,,,Underground Sports Shop,,0,0,0,0,0,
tough-my-journey-to-true-power-hardcover-by-terry-crews,Tough: My Journey to True Power Hardcover by Terry Crews,Title,Default Title,,,,,book-crew-tough,,,Underground Sports Shop,,0,0,0,481,481,
brighter-by-the-day-by-robin-roberts,Brighter by the Day by Robin Roberts,Title,Default Title,,,,,book-roberts-brighter,,,Underground Sports Shop,,0,0,0,608,608,
the-power-of-regret-how-looking-backward-moves-us-forward-by-daniel-pink,The Power of Regret: How Looking Backward Moves Us Forward by Daniel Pink,Title,Default Title,,,,,book-pink-power-of-regret,,,Underground Sports Shop,,0,0,1,0,1,
nsls-key-chain,NSLS Key Chain,Title,Default Title,,,,,nsls-keychain,,,Underground Sports Shop,,0,0,0,-28,-28,
nsls-challenge-coin,NSLS Challenge Coin and Case,Do you want to personalize it?,Skip personalization,,,,,nsls-coin-case,,,Underground Sports Shop,,0,0,1,177,178,
nsls-challenge-coin,NSLS Challenge Coin and Case,Do you want to personalize it?,Personalize my coin case,,,,,nsls-coin-case-personalize,,,Underground Sports Shop,,0,0,0,163,163,
nsls-graduation-medallion,Graduation Medallion,Do you want to personalize it?,Skip personalization,,,,,medallion,,,Underground Sports Shop,,0,0,2,10322,10324,
nsls-graduation-medallion,Graduation Medallion,Do you want to personalize it?,Personalize your medallion,,,,,medallion-personalize,,,Underground Sports Shop,,0,0,4,10839,10843,
nsls-eboard-ballpoint-pen,NSLS Greek Letter Ballpoint Pen,Title,Default Title,,,,,pen-greek-ballpoint,,,Underground Sports Shop,,0,0,0,4,4,
nsls-greek-letter-ballpoint-pen-pack-of-20-save-20,NSLS Greek Letter Ballpoint Pen (Pack of 20 Save 20%),Title,Default Title,,,,,bulk-pen-greek-ballpoint,,,Underground Sports Shop,,0,0,0,0,0,
official-nsls-banner-blue,Official NSLS Banner,Title,Default Title,,,,,nsls-banner-blue,,,Underground Sports Shop,,0,0,1,-2,-1,
official-nsls-table-cover-blue,Official NSLS Table Cover,Title,Default Title,,,,,nsls-table-cover-blue,,,Underground Sports Shop,,0,0,2,-1,1,
nsls-sticker,NSLS Sticker,Title,Default Title,,,,,NSLS-sticker-1,,,Underground Sports Shop,,0,0,1,541,542,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,S,,,,,seal-anorak-charles-river-9904-black-01-s,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,M,,,,,seal-anorak-charles-river-9904-black-02-m,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,L,,,,,seal-anorak-charles-river-9904-black-03-l,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,XL,,,,,seal-anorak-charles-river-9904-black-04-xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,2XL,,,,,seal-anorak-charles-river-9904-black-05-2xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-seal-anorak-windbreaker,NSLS Seal Pullover Windbreaker,Size,3XL,,,,,seal-anorak-charles-river-9904-black-06-3xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,S,,,,,vintage-seal-PC330-heather-navy-01-s,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,M,,,,,vintage-seal-PC330-heather-navy-02-m,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,L,,,,,vintage-seal-PC330-heather-navy-03-l,,,Underground Sports Shop,,0,0,0,-1,-1,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,XL,,,,,vintage-seal-PC330-heather-navy-04-xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,2XL,,,,,vintage-seal-PC330-heather-navy-05-2xl,,,Underground Sports Shop,,0,0,0,-1,-1,
nsls-vintage-seal-tee,NSLS Vintage Seal Tee,Size,3XL,,,,,vintage-seal-PC330-heather-navy-06-3xl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-minimal-logo-seal-tee,NSLS Minimal Logo Seal Tee,Size,S,,,,,minimal-seal-gildan-5000-black-01-s,,,Underground Sports Shop,,0,0,0,0,0,
clemson-university-member-tee,Clemson University - Member Tee,Size,L,,,,,clemson-mt-w-l,,,Underground Sports Shop,,0,0,0,48,48,
clemson-university-member-tee,Clemson University - Member Tee,Size,XL,,,,,clemson-mt-w-xl,,,Underground Sports Shop,,0,0,0,27,27,
clemson-university-member-tee,Clemson University - Member Tee,Size,2XL,,,,,clemson-mt-w-xxl,,,Underground Sports Shop,,0,0,0,12,12,
clemson-university-member-tee,Clemson University - Member Tee,Size,3XL,,,,,clemson-mt-w-xxxl,,,Underground Sports Shop,,0,0,0,3,3,
university-of-washington-member-tee,University of Washington - Member Tee,Size,S,,,,,uni-of-wash-mt-w-s,,,Underground Sports Shop,,0,0,0,0,0,
university-of-washington-member-tee,University of Washington - Member Tee,Size,M,,,,,uni-of-wash-mt-w-m,,,Underground Sports Shop,,0,0,0,0,0,
university-of-washington-member-tee,University of Washington - Member Tee,Size,L,,,,,uni-of-wash-mt-w-l,,,Underground Sports Shop,,0,0,0,0,0,
university-of-washington-member-tee,University of Washington - Member Tee,Size,XL,,,,,uni-of-wash-mt-w-xl,,,Underground Sports Shop,,0,0,0,0,0,
university-of-washington-member-tee,University of Washington - Member Tee,Size,2XL,,,,,uni-of-wash-mt-w-xxl,,,Underground Sports Shop,,0,0,0,0,0,
university-of-washington-member-tee,University of Washington - Member Tee,Size,3XL,,,,,uni-of-wash-mt-w-xxxl,,,Underground Sports Shop,,0,0,0,0,0,
nsls-crew-socks,NSLS Crew Socks,Size,Men's 7-9,,,,,nsls_sock_7_9,,,Underground Sports Shop,,0,0,0,0,0,
nsls-crew-socks,NSLS Crew Socks,Size,Men's 9-11,,,,,nsls_sock_9_11,,,Underground Sports Shop,,0,0,0,0,0,
nsls-crew-socks,NSLS Crew Socks,Size,Men's 10-13,,,,,nsls_sock_10_13,,,Underground Sports Shop,,0,0,0,0,0,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,S,,,,,uc-davis-mt-w-s,,,Underground Sports Shop,,0,0,0,38,38,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,M,,,,,uc-davis-mt-w-m,,,Underground Sports Shop,,0,0,0,48,48,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,L,,,,,uc-davis-mt-w-l,,,Underground Sports Shop,,0,0,0,48,48,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,XL,,,,,uc-davis-mt-w-xl,,,Underground Sports Shop,,0,0,0,20,20,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,2XL,,,,,uc-davis-mt-w-xxl,,,Underground Sports Shop,,0,0,0,12,12,
university-of-california-davis-member-tee,"University of California, Davis - Member Tee",Size,3XL,,,,,uc-davis-mt-w-xxxl,,,Underground Sports Shop,,0,0,0,3,3,
think-again-the-power-of-knowing-what-you-dont-know,Think Again by Adam Grant,Title,Default Title,,,,,book-grant-think-again,,,Underground Sports Shop,,0,0,0,0,0,
make-your-case-finding-your-win-in-civil-court,Make Your Case by Tanya Acker,Title,Default Title,,,,,book-acker-make-your-case,,,Underground Sports Shop,,0,0,1,454,455,
the-magic-misfits-the-fourth-suit,The Magic Misfits: The Fourth Suit by Neil Patrick Harris,Title,Default Title,,,,,book-harris-magic-misfits,,,Underground Sports Shop,,0,0,0,966,966,
a-promised-land-barack-obama,A Promised Land by Barack Obama,Title,Default Title,,,,,book-obama-a-promised-land,,,Underground Sports Shop,,0,0,0,2776,2776,
digital-body-language-how-to-build-trust-and-connection-no-matter-the-distance,Digital Body Language by Erica Dhawan,Title,Default Title,,,,,book-dhawan-digital-body-language,,,Underground Sports Shop,,0,0,0,0,0,
out-of-many-one-portraits-of-americas-immigrants,"Out of Many, One: Portraits of America's Immigrants",Title,Default Title,,,,,book-bush-out-of-one-many,,,Underground Sports Shop,,0,0,0,914,914,
how-to-avoid-a-climate-disaster-the-solutions-we-have-and-the-breakthroughs-we-need,How to Avoid a Climate Disaster by Bill Gates,Title,Default Title,,,,,book-gates-climate-disaster,,,Underground Sports Shop,,0,0,0,875,875,
nsls-face-mask-set,NSLS Face Mask Set,Title,Default Title,,,,,nsls-face-mask,,,Underground Sports Shop,,0,0,0,0,0,
greek-knit-pompom-red-grey,New Era® Pom Pom Cuffed Beanie,Design,Logo Seal,,,,,SAP-red-grey-pompom-circle,,,Underground Sports Shop,,0,0,0,5,5,
greek-knit-pompom-red-grey,New Era® Pom Pom Cuffed Beanie,Design,NSLS,,,,,SAP-red-grey-pompom-nsls,,,Underground Sports Shop,,0,0,0,10,10,
believing-by-anita-hill,Believing by Anita HIll,Title,Default Title,,,,,book-hill-believing,,,Underground Sports Shop,,0,0,0,431,431,
act-like-you-got-some-sense-by-jamie-foxx,Act Like You Got Some Sense by Jamie Foxx,Title,Default Title,,,,,book-foxx-act-like,,,Underground Sports Shop,,0,0,0,765,765,
you-got-anything-stronger-by-gabrielle-union,You Got Anything Stronger? by Gabrielle Union,Title,Default Title,,,,,book-union-you-got-anyting-stronger,,,Underground Sports Shop,,0,0,0,449,449,
this-must-be-the-place-by-rachel-ray,This Must Be the Place by Rachel Ray,Title,Default Title,,,,,book-ray-must-be-the-place,,,Underground Sports Shop,,0,0,0,478,478,
greenlights-by-matthew-mcconaughey,Greenlights by Matthew McConaughey,Title,Default Title,,,,,book-mconaughey-greenlights,,,Underground Sports Shop,,0,0,0,390,390,
the-ultimate-retirement-guide-for-50-by-suze-orman,The Ultimate Retirement Guide for 50+ by Suze Orman,Title,Default Title,,,,,book-orman-retirement,,,Underground Sports Shop,,0,0,0,40,40,
